PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, Desorption, 7.5.2026, 16:36
Diameter[mm] 1.128e+00  Thickness[mm] 2.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 9.0000e+05	 6.5000e+01	 1.2111e+00	 3.0448e-02	 3.6315e+02	 1.3391e+02
 1.0000e+02	 1.3120e+02	 1.1578e+00	-2.0001e-01	 3.6315e+02	 1.4045e+02
 1.5000e+02	 1.3120e+02	 1.2544e+00	-1.7466e-01	 3.6315e+02	 1.4291e+02
 2.2500e+02	 1.3120e+02	 1.3036e+00	-1.3509e-01	 3.6315e+02	 1.4570e+02
 3.3750e+02	 1.3120e+02	 1.3385e+00	-7.8495e-02	 3.6314e+02	 1.4820e+02
 5.0625e+02	 1.3120e+02	 1.3460e+00	-4.3285e-02	 3.6315e+02	 1.5094e+02
 7.5938e+02	 1.3120e+02	 1.3440e+00	-1.9441e-02	 3.6315e+02	 1.5363e+02
 1.1391e+03	 1.3120e+02	 1.3391e+00	 1.7272e-03	 3.6315e+02	 1.5617e+02
 1.7086e+03	 1.3120e+02	 1.3316e+00	 1.0351e-02	 3.6315e+02	 1.5869e+02
 2.5629e+03	 1.3120e+02	 1.3244e+00	 1.7423e-02	 3.6315e+02	 1.6147e+02
 3.8443e+03	 1.3120e+02	 1.3170e+00	 2.1197e-02	 3.6315e+02	 1.6394e+02
 5.7665e+03	 1.3120e+02	 1.3098e+00	 2.4157e-02	 3.6315e+02	 1.6638e+02
 8.6498e+03	 1.3120e+02	 1.3026e+00	 2.4791e-02	 3.6315e+02	 1.6903e+02
 1.2975e+04	 1.3120e+02	 1.2953e+00	 2.5893e-02	 3.6314e+02	 1.7156e+02
 1.9462e+04	 1.3120e+02	 1.2879e+00	 2.6828e-02	 3.6315e+02	 1.7400e+02
 2.9193e+04	 1.3120e+02	 1.2807e+00	 2.7575e-02	 3.6314e+02	 1.7669e+02
 4.3789e+04	 1.3120e+02	 1.2735e+00	 2.8179e-02	 3.6315e+02	 1.7919e+02
 6.5684e+04	 1.3120e+02	 1.2662e+00	 2.8875e-02	 3.6315e+02	 1.8195e+02
 9.8526e+04	 1.3120e+02	 1.2587e+00	 2.9728e-02	 3.6315e+02	 1.8444e+02
 1.4779e+05	 1.3120e+02	 1.2509e+00	 3.0720e-02	 3.6314e+02	 1.8688e+02
 2.2168e+05	 1.3120e+02	 1.2426e+00	 3.1693e-02	 3.6315e+02	 1.8956e+02
 3.3253e+05	 1.3120e+02	 1.2338e+00	 3.2344e-02	 3.6315e+02	 1.9213e+02
 4.9879e+05	 1.3120e+02	 1.2242e+00	 3.2381e-02	 3.6314e+02	 1.9495e+02
 7.4818e+05	 1.3120e+02	 1.2150e+00	 3.1247e-02	 3.6315e+02	 1.9738e+02
 9.0000e+05	 1.3120e+02	 1.2111e+00	 3.0404e-02	 3.6313e+02	 1.9997e+02
 1.0000e+02	 1.9730e+02	 1.2419e+00	-1.6810e-01	 3.6314e+02	 2.0672e+02
 1.5000e+02	 1.9730e+02	 1.2883e+00	-1.4605e-01	 3.6313e+02	 2.0914e+02
 2.2500e+02	 1.9730e+02	 1.3374e+00	-8.7508e-02	 3.6314e+02	 2.1194e+02
 3.3750e+02	 1.9730e+02	 1.3459e+00	-6.2153e-02	 3.6314e+02	 2.1444e+02
 5.0625e+02	 1.9730e+02	 1.3500e+00	-2.7974e-02	 3.6314e+02	 2.1717e+02
 7.5938e+02	 1.9730e+02	 1.3463e+00	-4.3549e-03	 3.6314e+02	 2.1975e+02
 1.1391e+03	 1.9730e+02	 1.3394e+00	 7.1407e-03	 3.6314e+02	 2.2249e+02
 1.7086e+03	 1.9730e+02	 1.3315e+00	 1.1541e-02	 3.6314e+02	 2.2494e+02
 2.5629e+03	 1.9730e+02	 1.3242e+00	 1.7554e-02	 3.6314e+02	 2.2777e+02
 3.8443e+03	 1.9730e+02	 1.3170e+00	 2.1842e-02	 3.6314e+02	 2.3025e+02
 5.7665e+03	 1.9730e+02	 1.3097e+00	 2.3317e-02	 3.6314e+02	 2.3269e+02
 8.6498e+03	 1.9730e+02	 1.3025e+00	 2.5350e-02	 3.6314e+02	 2.3538e+02
 1.2975e+04	 1.9730e+02	 1.2953e+00	 2.6496e-02	 3.6314e+02	 2.3794e+02
 1.9462e+04	 1.9730e+02	 1.2880e+00	 2.7218e-02	 3.6314e+02	 2.4069e+02
 2.9193e+04	 1.9730e+02	 1.2808e+00	 2.7819e-02	 3.6314e+02	 2.4325e+02
 4.3789e+04	 1.9730e+02	 1.2736e+00	 2.8438e-02	 3.6314e+02	 2.4594e+02
 6.5684e+04	 1.9730e+02	 1.2663e+00	 2.8850e-02	 3.6315e+02	 2.4838e+02
 9.8526e+04	 1.9730e+02	 1.2588e+00	 2.9759e-02	 3.6315e+02	 2.5081e+02
 1.4779e+05	 1.9730e+02	 1.2510e+00	 3.0780e-02	 3.6314e+02	 2.5338e+02
 2.2168e+05	 1.9730e+02	 1.2427e+00	 3.1729e-02	 3.6314e+02	 2.5581e+02
 3.3253e+05	 1.9730e+02	 1.2339e+00	 3.2358e-02	 3.6315e+02	 2.5844e+02
 4.9879e+05	 1.9730e+02	 1.2243e+00	 3.2347e-02	 3.6314e+02	 2.6094e+02
 7.4818e+05	 1.9730e+02	 1.2151e+00	 3.1123e-02	 3.6315e+02	 2.6338e+02
 9.0000e+05	 1.9730e+02	 1.2112e+00	 3.0428e-02	 3.6315e+02	 2.6588e+02
 1.0000e+02	 2.6320e+02	 1.3063e+00	-1.1386e-01	 3.6315e+02	 2.7252e+02
 1.5000e+02	 2.6320e+02	 1.3387e+00	-8.5437e-02	 3.6315e+02	 2.7497e+02
 2.2500e+02	 2.6320e+02	 1.3463e+00	-7.0468e-02	 3.6315e+02	 2.7781e+02
 3.3750e+02	 2.6320e+02	 1.3548e+00	-3.6569e-02	 3.6316e+02	 2.8025e+02
 5.0625e+02	 2.6320e+02	 1.3531e+00	-1.4795e-02	 3.6315e+02	 2.8299e+02
 7.5938e+02	 2.6320e+02	 1.3474e+00	 2.3300e-03	 3.6315e+02	 2.8556e+02
 1.1391e+03	 2.6320e+02	 1.3399e+00	 1.1855e-02	 3.6315e+02	 2.8845e+02
 1.7086e+03	 2.6320e+02	 1.3318e+00	 1.7248e-02	 3.6315e+02	 2.9094e+02
 2.5629e+03	 2.6320e+02	 1.3244e+00	 2.1275e-02	 3.6315e+02	 2.9350e+02
 3.8443e+03	 2.6320e+02	 1.3169e+00	 2.3625e-02	 3.6315e+02	 2.9594e+02
 5.7665e+03	 2.6320e+02	 1.3096e+00	 2.5404e-02	 3.6315e+02	 2.9838e+02
 8.6498e+03	 2.6320e+02	 1.3023e+00	 2.6672e-02	 3.6315e+02	 3.0111e+02
 1.2975e+04	 2.6320e+02	 1.2951e+00	 2.7130e-02	 3.6315e+02	 3.0363e+02
 1.9462e+04	 2.6320e+02	 1.2877e+00	 2.7624e-02	 3.6314e+02	 3.0606e+02
 2.9193e+04	 2.6320e+02	 1.2806e+00	 2.8125e-02	 3.6316e+02	 3.0875e+02
 4.3789e+04	 2.6320e+02	 1.2733e+00	 2.8466e-02	 3.6315e+02	 3.1125e+02
 6.5684e+04	 2.6320e+02	 1.2661e+00	 2.9020e-02	 3.6315e+02	 3.1369e+02
 9.8526e+04	 2.6320e+02	 1.2586e+00	 2.9746e-02	 3.6316e+02	 3.1613e+02
 1.4779e+05	 2.6320e+02	 1.2508e+00	 3.0706e-02	 3.6315e+02	 3.1856e+02
 2.2168e+05	 2.6320e+02	 1.2425e+00	 3.1645e-02	 3.6315e+02	 3.2119e+02
 3.3253e+05	 2.6320e+02	 1.2337e+00	 3.2281e-02	 3.6315e+02	 3.2381e+02
 4.9879e+05	 2.6320e+02	 1.2241e+00	 3.2276e-02	 3.6315e+02	 3.2644e+02
 7.4818e+05	 2.6320e+02	 1.2150e+00	 3.1134e-02	 3.6315e+02	 3.2888e+02
 9.0000e+05	 2.6320e+02	 1.2111e+00	 3.0379e-02	 3.6315e+02	 3.3131e+02
 1.0000e+02	 3.2860e+02	 1.2863e+00	-1.3509e-01	 3.6315e+02	 3.3811e+02
 1.5000e+02	 3.2860e+02	 1.3363e+00	-8.7691e-02	 3.6315e+02	 3.4053e+02
 2.2500e+02	 3.2860e+02	 1.3547e+00	-5.1191e-02	 3.6315e+02	 3.4347e+02
 3.3750e+02	 3.2860e+02	 1.3590e+00	-1.8895e-02	 3.6315e+02	 3.4600e+02
 5.0625e+02	 3.2860e+02	 1.3552e+00	 7.7930e-04	 3.6315e+02	 3.4869e+02
 7.5938e+02	 3.2860e+02	 1.3480e+00	 1.1566e-02	 3.6314e+02	 3.5133e+02
 1.1391e+03	 3.2860e+02	 1.3400e+00	 1.9244e-02	 3.6315e+02	 3.5410e+02
 1.7086e+03	 3.2860e+02	 1.3317e+00	 2.2650e-02	 3.6315e+02	 3.5656e+02
 2.5629e+03	 3.2860e+02	 1.3241e+00	 2.4713e-02	 3.6315e+02	 3.5949e+02
 3.8443e+03	 3.2860e+02	 1.3167e+00	 2.6089e-02	 3.6315e+02	 3.6194e+02
 5.7665e+03	 3.2860e+02	 1.3094e+00	 2.6674e-02	 3.6314e+02	 3.6438e+02
 8.6498e+03	 3.2860e+02	 1.3021e+00	 2.7207e-02	 3.6314e+02	 3.6713e+02
 1.2975e+04	 3.2860e+02	 1.2948e+00	 2.7684e-02	 3.6315e+02	 3.6956e+02
 1.9462e+04	 3.2860e+02	 1.2874e+00	 2.7984e-02	 3.6314e+02	 3.7220e+02
 2.9193e+04	 3.2860e+02	 1.2802e+00	 2.8347e-02	 3.6315e+02	 3.7475e+02
 4.3789e+04	 3.2860e+02	 1.2730e+00	 2.8680e-02	 3.6314e+02	 3.7760e+02
 6.5684e+04	 3.2860e+02	 1.2658e+00	 2.9085e-02	 3.6314e+02	 3.8013e+02
 9.8526e+04	 3.2860e+02	 1.2583e+00	 2.9793e-02	 3.6315e+02	 3.8256e+02
 1.4779e+05	 3.2860e+02	 1.2506e+00	 3.0702e-02	 3.6315e+02	 3.8513e+02
 2.2168e+05	 3.2860e+02	 1.2423e+00	 3.1643e-02	 3.6315e+02	 3.8756e+02
 3.3253e+05	 3.2860e+02	 1.2336e+00	 3.2304e-02	 3.6315e+02	 3.9025e+02
 4.9879e+05	 3.2860e+02	 1.2240e+00	 3.2243e-02	 3.6315e+02	 3.9269e+02
 7.4818e+05	 3.2860e+02	 1.2148e+00	 3.1093e-02	 3.6315e+02	 3.9513e+02
 9.0000e+05	 3.2860e+02	 1.2110e+00	 3.0354e-02	 3.6315e+02	 3.9794e+02
 1.0000e+02	 3.9530e+02	 1.3292e+00	-9.0401e-02	 3.6316e+02	 4.0439e+02
 1.5000e+02	 3.9530e+02	 1.3530e+00	-5.8415e-02	 3.6316e+02	 4.0677e+02
 2.2500e+02	 3.9530e+02	 1.3593e+00	-3.8409e-02	 3.6315e+02	 4.0958e+02
 3.3750e+02	 3.9530e+02	 1.3602e+00	-1.5877e-02	 3.6316e+02	 4.1206e+02
 5.0625e+02	 3.9530e+02	 1.3550e+00	-2.3357e-03	 3.6316e+02	 4.1470e+02
 7.5938e+02	 3.9530e+02	 1.3481e+00	 1.1311e-02	 3.6315e+02	 4.1731e+02
 1.1391e+03	 3.9530e+02	 1.3402e+00	 1.9174e-02	 3.6316e+02	 4.1997e+02
 1.7086e+03	 3.9530e+02	 1.3321e+00	 2.2681e-02	 3.6315e+02	 4.2244e+02
 2.5629e+03	 3.9530e+02	 1.3520e+00	 2.8697e-02	 3.6316e+02	 4.2506e+02
 3.8443e+03	 3.9530e+02	 1.3519e+00	 2.8970e-02	 3.6316e+02	 4.2769e+02
 5.7665e+03	 3.9530e+02	 1.3498e+00	 2.9070e-02	 3.6316e+02	 4.3019e+02
 8.6498e+03	 3.9530e+02	 1.3466e+00	 2.9605e-02	 3.6317e+02	 4.3294e+02
 1.2975e+04	 3.9530e+02	 1.3429e+00	 3.0692e-02	 3.6317e+02	 4.3538e+02
 1.9462e+04	 3.9530e+02	 1.3377e+00	 3.2247e-02	 3.6317e+02	 4.3789e+02
 2.9193e+04	 3.9530e+02	 1.3323e+00	 3.4289e-02	 3.6317e+02	 4.4044e+02
 4.3789e+04	 3.9530e+02	 1.3258e+00	 3.6663e-02	 3.6318e+02	 4.4288e+02
 6.5684e+04	 3.9530e+02	 1.3183e+00	 3.9376e-02	 3.6318e+02	 4.4549e+02
 9.8526e+04	 3.9530e+02	 1.3097e+00	 4.2717e-02	 3.6318e+02	 4.4795e+02
 1.4779e+05	 3.9530e+02	 1.2993e+00	 4.6301e-02	 3.6318e+02	 4.5044e+02
 2.2168e+05	 3.9530e+02	 1.2870e+00	 4.9406e-02	 3.6318e+02	 4.5319e+02
 3.3253e+05	 3.9530e+02	 1.2732e+00	 5.0973e-02	 3.6318e+02	 4.5575e+02
 4.9879e+05	 3.9530e+02	 1.2583e+00	 5.0282e-02	 3.6317e+02	 4.5863e+02
 7.4818e+05	 3.9530e+02	 1.2445e+00	 4.7107e-02	 3.6318e+02	 4.6113e+02
 9.0000e+05	 3.9530e+02	 1.2395e+00	 4.5209e-02	 3.6317e+02	 4.6394e+02
 1.0000e+02	 4.6130e+02	 1.3868e+00	-4.6024e-02	 3.6316e+02	 4.7178e+02
 1.5000e+02	 4.6130e+02	 1.4028e+00	-2.9523e-02	 3.6316e+02	 4.7447e+02
 2.2500e+02	 4.6130e+02	 1.4062e+00	-1.6747e-02	 3.6316e+02	 4.7710e+02
 3.3750e+02	 4.6130e+02	 1.4065e+00	-5.9552e-03	 3.6315e+02	 4.7981e+02
 5.0625e+02	 4.6130e+02	 1.4045e+00	 1.0343e-03	 3.6315e+02	 4.8227e+02
 7.5938e+02	 4.6130e+02	 1.4016e+00	 3.6119e-03	 3.6315e+02	 4.8497e+02
 1.1391e+03	 4.6130e+02	 1.3989e+00	 9.1568e-03	 3.6316e+02	 4.8744e+02
 1.7086e+03	 4.6130e+02	 1.3955e+00	 1.2534e-02	 3.6315e+02	 4.8988e+02
 2.5629e+03	 4.6130e+02	 1.3925e+00	 1.4102e-02	 3.6315e+02	 4.9263e+02
