PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 60°C Desorption, 30.4.2026, 14:15
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 1.0000e+02	 0.0000e+00	 5.9159e+00	 9.6628e-02	 3.3315e+02	 7.7500e+00
 1.5000e+02	 0.0000e+00	 5.8929e+00	 1.1140e-01	 3.3315e+02	 1.0200e+01
 2.2500e+02	 0.0000e+00	 5.8675e+00	 1.2862e-01	 3.3315e+02	 1.2690e+01
 3.3750e+02	 0.0000e+00	 5.8373e+00	 1.4999e-01	 3.3315e+02	 1.5130e+01
 5.0625e+02	 0.0000e+00	 5.8023e+00	 1.7574e-01	 3.3315e+02	 1.7560e+01
 7.5938e+02	 0.0000e+00	 5.7610e+00	 2.0722e-01	 3.3315e+02	 2.0440e+01
 1.1391e+03	 0.0000e+00	 5.7119e+00	 2.4485e-01	 3.3314e+02	 2.2890e+01
 1.7086e+03	 0.0000e+00	 5.6531e+00	 2.9067e-01	 3.3315e+02	 2.5720e+01
 2.5629e+03	 0.0000e+00	 5.5824e+00	 3.4481e-01	 3.3315e+02	 2.8310e+01
 3.8443e+03	 0.0000e+00	 5.4960e+00	 4.0807e-01	 3.3315e+02	 3.0750e+01
 5.7665e+03	 0.0000e+00	 5.3899e+00	 4.8046e-01	 3.3314e+02	 3.3190e+01
 8.6498e+03	 0.0000e+00	 5.2595e+00	 5.5986e-01	 3.3315e+02	 3.5750e+01
 1.2975e+04	 0.0000e+00	 5.0995e+00	 6.4172e-01	 3.3315e+02	 3.8490e+01
 1.9462e+04	 0.0000e+00	 4.9058e+00	 7.1633e-01	 3.3315e+02	 4.1130e+01
 2.9193e+04	 0.0000e+00	 4.6802e+00	 7.7029e-01	 3.3315e+02	 4.3940e+01
 4.3789e+04	 0.0000e+00	 4.4427e+00	 7.8787e-01	 3.3315e+02	 4.6390e+01
 6.5684e+04	 0.0000e+00	 4.1970e+00	 7.6134e-01	 3.3315e+02	 4.8970e+01
 9.8526e+04	 0.0000e+00	 3.9756e+00	 6.9689e-01	 3.3315e+02	 5.1560e+01
 1.4779e+05	 0.0000e+00	 3.7934e+00	 6.1275e-01	 3.3315e+02	 5.4390e+01
 2.2168e+05	 0.0000e+00	 3.6405e+00	 5.2744e-01	 3.3315e+02	 5.7000e+01
 3.3253e+05	 0.0000e+00	 3.5263e+00	 4.5397e-01	 3.3315e+02	 5.9630e+01
 4.9879e+05	 0.0000e+00	 3.4324e+00	 3.9492e-01	 3.3316e+02	 6.2190e+01
 7.4818e+05	 0.0000e+00	 3.4078e+00	 2.5500e-01	 3.3316e+02	 7.0220e+01
 9.0000e+05	 0.0000e+00	 3.3789e+00	 2.2760e-01	 3.3317e+02	 7.8000e+01
 1.0000e+02	 7.5200e+01	 5.9152e+00	 9.6950e-02	 3.3317e+02	 8.6270e+01
 1.5000e+02	 7.5200e+01	 5.8917e+00	 1.1193e-01	 3.3316e+02	 8.8700e+01
 2.2500e+02	 7.5200e+01	 5.8665e+00	 1.2898e-01	 3.3316e+02	 9.1490e+01
 3.3750e+02	 7.5200e+01	 5.8364e+00	 1.5026e-01	 3.3317e+02	 9.3940e+01
 5.0625e+02	 7.5200e+01	 5.8012e+00	 1.7627e-01	 3.3316e+02	 9.6450e+01
 7.5938e+02	 7.5200e+01	 5.7596e+00	 2.0758e-01	 3.3316e+02	 9.9060e+01
 1.1391e+03	 7.5200e+01	 5.7107e+00	 2.4589e-01	 3.3316e+02	 1.0150e+02
 1.7086e+03	 7.5200e+01	 5.6517e+00	 2.9107e-01	 3.3316e+02	 1.0419e+02
 2.5629e+03	 7.5200e+01	 5.5805e+00	 3.4533e-01	 3.3316e+02	 1.0675e+02
 3.8443e+03	 7.5200e+01	 5.4940e+00	 4.0870e-01	 3.3316e+02	 1.0919e+02
 5.7665e+03	 7.5200e+01	 5.3878e+00	 4.8090e-01	 3.3315e+02	 1.1167e+02
 8.6498e+03	 7.5200e+01	 5.2570e+00	 5.6020e-01	 3.3316e+02	 1.1425e+02
 1.2975e+04	 7.5200e+01	 5.0969e+00	 6.4168e-01	 3.3315e+02	 1.1697e+02
 1.9462e+04	 7.5200e+01	 4.9032e+00	 7.1628e-01	 3.3315e+02	 1.1956e+02
 2.9193e+04	 7.5200e+01	 4.6775e+00	 7.6979e-01	 3.3315e+02	 1.2238e+02
 4.3789e+04	 7.5200e+01	 4.4400e+00	 7.8730e-01	 3.3315e+02	 1.2481e+02
 6.5684e+04	 7.5200e+01	 4.1945e+00	 7.6051e-01	 3.3315e+02	 1.2725e+02
 9.8526e+04	 7.5200e+01	 3.9735e+00	 6.9595e-01	 3.3315e+02	 1.2994e+02
 1.4779e+05	 7.5200e+01	 3.7915e+00	 6.1186e-01	 3.3315e+02	 1.3263e+02
 2.2168e+05	 7.5200e+01	 3.6389e+00	 5.2663e-01	 3.3315e+02	 1.3519e+02
 3.3253e+05	 7.5200e+01	 3.5251e+00	 4.5326e-01	 3.3315e+02	 1.3763e+02
 4.9879e+05	 7.5200e+01	 3.4311e+00	 3.9431e-01	 3.3315e+02	 1.4020e+02
 7.4818e+05	 7.5200e+01	 3.4063e+00	 2.5573e-01	 3.3314e+02	 1.4781e+02
 9.0000e+05	 7.5200e+01	 3.3773e+00	 2.3125e-01	 3.3313e+02	 1.5556e+02
 1.0000e+02	 1.5280e+02	 5.9143e+00	 9.7495e-02	 3.3314e+02	 1.6364e+02
 1.5000e+02	 1.5280e+02	 5.8918e+00	 1.1087e-01	 3.3313e+02	 1.6616e+02
 2.2500e+02	 1.5280e+02	 5.8652e+00	 1.2947e-01	 3.3314e+02	 1.6895e+02
 3.3750e+02	 1.5280e+02	 5.8349e+00	 1.5096e-01	 3.3314e+02	 1.7138e+02
 5.0625e+02	 1.5280e+02	 5.7996e+00	 1.7685e-01	 3.3314e+02	 1.7383e+02
 7.5938e+02	 1.5280e+02	 5.7581e+00	 2.0840e-01	 3.3314e+02	 1.7644e+02
 1.1391e+03	 1.5280e+02	 5.7087e+00	 2.4638e-01	 3.3314e+02	 1.7889e+02
 1.7086e+03	 1.5280e+02	 5.6497e+00	 2.9184e-01	 3.3314e+02	 1.8145e+02
 2.5629e+03	 1.5280e+02	 5.5784e+00	 3.4618e-01	 3.3314e+02	 1.8419e+02
 3.8443e+03	 1.5280e+02	 5.4917e+00	 4.0949e-01	 3.3314e+02	 1.8699e+02
 5.7665e+03	 1.5280e+02	 5.3851e+00	 4.8159e-01	 3.3314e+02	 1.8950e+02
 8.6498e+03	 1.5280e+02	 5.2542e+00	 5.6075e-01	 3.3314e+02	 1.9214e+02
 1.2975e+04	 1.5280e+02	 5.0940e+00	 6.4183e-01	 3.3314e+02	 1.9477e+02
 1.9462e+04	 1.5280e+02	 4.9004e+00	 7.1618e-01	 3.3314e+02	 1.9764e+02
 2.9193e+04	 1.5280e+02	 4.6749e+00	 7.6936e-01	 3.3315e+02	 2.0025e+02
 4.3789e+04	 1.5280e+02	 4.4378e+00	 7.8647e-01	 3.3314e+02	 2.0295e+02
 6.5684e+04	 1.5280e+02	 4.1926e+00	 7.5960e-01	 3.3314e+02	 2.0544e+02
 9.8526e+04	 1.5280e+02	 3.9722e+00	 6.9522e-01	 3.3315e+02	 2.0788e+02
 1.4779e+05	 1.5280e+02	 3.7904e+00	 6.1126e-01	 3.3315e+02	 2.1052e+02
 2.2168e+05	 1.5280e+02	 3.6380e+00	 5.2621e-01	 3.3315e+02	 2.1306e+02
 3.3253e+05	 1.5280e+02	 3.5241e+00	 4.5297e-01	 3.3315e+02	 2.1556e+02
 4.9879e+05	 1.5280e+02	 3.4304e+00	 3.9408e-01	 3.3314e+02	 2.1819e+02
 7.4818e+05	 1.5280e+02	 3.4057e+00	 2.5436e-01	 3.3315e+02	 2.2633e+02
 9.0000e+05	 1.5280e+02	 3.3770e+00	 2.2764e-01	 3.3314e+02	 2.3394e+02
 1.0000e+02	 2.3120e+02	 5.9138e+00	 9.7566e-02	 3.3315e+02	 2.4233e+02
 1.5000e+02	 2.3120e+02	 5.8909e+00	 1.1209e-01	 3.3314e+02	 2.4477e+02
 2.2500e+02	 2.3120e+02	 5.8645e+00	 1.2979e-01	 3.3314e+02	 2.4758e+02
 3.3750e+02	 2.3120e+02	 5.8343e+00	 1.5117e-01	 3.3314e+02	 2.5000e+02
 5.0625e+02	 2.3120e+02	 5.7989e+00	 1.7728e-01	 3.3314e+02	 2.5270e+02
 7.5938e+02	 2.3120e+02	 5.7570e+00	 2.0870e-01	 3.3315e+02	 2.5525e+02
 1.1391e+03	 2.3120e+02	 5.7078e+00	 2.4654e-01	 3.3315e+02	 2.5775e+02
 1.7086e+03	 2.3120e+02	 5.6484e+00	 2.9257e-01	 3.3315e+02	 2.6044e+02
 2.5629e+03	 2.3120e+02	 5.5769e+00	 3.4657e-01	 3.3315e+02	 2.6308e+02
 3.8443e+03	 2.3120e+02	 5.4899e+00	 4.0972e-01	 3.3315e+02	 2.6575e+02
 5.7665e+03	 2.3120e+02	 5.3834e+00	 4.8185e-01	 3.3315e+02	 2.6819e+02
 8.6498e+03	 2.3120e+02	 5.2524e+00	 5.6086e-01	 3.3315e+02	 2.7094e+02
 1.2975e+04	 2.3120e+02	 5.0921e+00	 6.4185e-01	 3.3315e+02	 2.7338e+02
 1.9462e+04	 2.3120e+02	 4.8986e+00	 7.1587e-01	 3.3315e+02	 2.7620e+02
 2.9193e+04	 2.3120e+02	 4.6732e+00	 7.6879e-01	 3.3315e+02	 2.7888e+02
 4.3789e+04	 2.3120e+02	 4.4364e+00	 7.8596e-01	 3.3315e+02	 2.8161e+02
 6.5684e+04	 2.3120e+02	 4.1914e+00	 7.5902e-01	 3.3316e+02	 2.8413e+02
 9.8526e+04	 2.3120e+02	 3.9713e+00	 6.9466e-01	 3.3316e+02	 2.8689e+02
 1.4779e+05	 2.3120e+02	 3.7896e+00	 6.1089e-01	 3.3315e+02	 2.8950e+02
 2.2168e+05	 2.3120e+02	 3.6372e+00	 5.2595e-01	 3.3315e+02	 2.9206e+02
 3.3253e+05	 2.3120e+02	 3.5235e+00	 4.5273e-01	 3.3316e+02	 2.9450e+02
 4.9879e+05	 2.3120e+02	 3.4297e+00	 3.9391e-01	 3.3315e+02	 2.9706e+02
