PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 80°C Absorption, 4.5.2026, 12:4
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 1.0000e+02	 0.0000e+00	 6.4741e+00	 2.3323e-01	 3.5315e+02	 7.8300e+00
 1.5000e+02	 0.0000e+00	 6.4246e+00	 2.0642e-01	 3.5314e+02	 1.0330e+01
 2.2500e+02	 0.0000e+00	 6.3821e+00	 1.8672e-01	 3.5314e+02	 1.3000e+01
 3.3750e+02	 0.0000e+00	 6.3443e+00	 1.7007e-01	 3.5314e+02	 1.5570e+01
 5.0625e+02	 0.0000e+00	 6.3110e+00	 1.5789e-01	 3.5314e+02	 1.8270e+01
 7.5938e+02	 0.0000e+00	 6.2811e+00	 1.5098e-01	 3.5315e+02	 2.0820e+01
 1.1391e+03	 0.0000e+00	 6.2532e+00	 1.4991e-01	 3.5314e+02	 2.5940e+01
 1.7086e+03	 0.0000e+00	 6.2271e+00	 1.5605e-01	 3.5314e+02	 2.8380e+01
 2.5629e+03	 0.0000e+00	 6.2003e+00	 1.7126e-01	 3.5315e+02	 3.1070e+01
 3.8443e+03	 0.0000e+00	 6.1714e+00	 1.9771e-01	 3.5315e+02	 3.3570e+01
 5.7665e+03	 0.0000e+00	 6.1380e+00	 2.3841e-01	 3.5315e+02	 3.6320e+01
 8.6498e+03	 0.0000e+00	 6.0953e+00	 2.9715e-01	 3.5315e+02	 3.8880e+01
 1.2975e+04	 0.0000e+00	 6.0378e+00	 3.7762e-01	 3.5315e+02	 4.1600e+01
 1.9462e+04	 0.0000e+00	 5.9571e+00	 4.8312e-01	 3.5315e+02	 4.4130e+01
 2.9193e+04	 0.0000e+00	 5.8382e+00	 6.1310e-01	 3.5315e+02	 4.6570e+01
 4.3789e+04	 0.0000e+00	 5.6668e+00	 7.6179e-01	 3.5315e+02	 4.9250e+01
 6.5684e+04	 0.0000e+00	 5.4286e+00	 9.0808e-01	 3.5315e+02	 5.1690e+01
 9.8526e+04	 0.0000e+00	 5.1214e+00	 1.0186e+00	 3.5315e+02	 5.4350e+01
 1.4779e+05	 0.0000e+00	 4.7686e+00	 1.0570e+00	 3.5315e+02	 5.9320e+01
 2.2168e+05	 0.0000e+00	 4.4423e+00	 1.0125e+00	 3.5315e+02	 6.2000e+01
 3.3253e+05	 0.0000e+00	 4.1390e+00	 8.9030e-01	 3.5315e+02	 6.4570e+01
 4.9879e+05	 0.0000e+00	-4.4983e+00	 5.0775e+01	 3.5316e+02	 6.7490e+01
 7.4818e+05	 0.0000e+00	 3.7899e+00	 4.8856e-01	 3.5315e+02	 7.3880e+01
 9.0000e+05	 0.0000e+00	 3.7429e+00	 4.1965e-01	 3.5316e+02	 8.1630e+01
 1.0000e+02	 7.8800e+01	 6.4742e+00	 2.3330e-01	 3.5315e+02	 8.9710e+01
 1.5000e+02	 7.8800e+01	 6.4267e+00	 2.0844e-01	 3.5315e+02	 9.2140e+01
 2.2500e+02	 7.8800e+01	 6.3823e+00	 1.8694e-01	 3.5315e+02	 9.5000e+01
 3.3750e+02	 7.8800e+01	 6.3445e+00	 1.7007e-01	 3.5315e+02	 9.7580e+01
 5.0625e+02	 7.8800e+01	 6.3109e+00	 1.5798e-01	 3.5315e+02	 1.0033e+02
