PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 80°C Desorption, 4.5.2026, 16:19
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 9.0000e+05	 8.0500e+01	 3.2503e+00	 2.4683e-01	 3.5315e+02	 1.6533e+02
 1.0000e+02	 1.6260e+02	 5.6400e+00	 2.5766e-01	 3.5315e+02	 1.7345e+02
 1.5000e+02	 1.6260e+02	 5.5740e+00	 2.7526e-01	 3.5315e+02	 1.7597e+02
 2.2500e+02	 1.6260e+02	 5.5045e+00	 2.9012e-01	 3.5315e+02	 1.7870e+02
 3.3750e+02	 1.6260e+02	 5.4293e+00	 3.0876e-01	 3.5315e+02	 1.8120e+02
 5.0625e+02	 1.6260e+02	 5.3483e+00	 3.2850e-01	 3.5315e+02	 1.8395e+02
 7.5938e+02	 1.6260e+02	 5.2616e+00	 3.4873e-01	 3.5315e+02	 1.8637e+02
 1.1391e+03	 1.6260e+02	 5.1693e+00	 3.6915e-01	 3.5314e+02	 1.8923e+02
 1.7086e+03	 1.6260e+02	 5.0716e+00	 3.8880e-01	 3.5315e+02	 1.9181e+02
 2.5629e+03	 1.6260e+02	 4.9685e+00	 4.0822e-01	 3.5314e+02	 1.9694e+02
 3.8443e+03	 1.6260e+02	 4.8605e+00	 4.2701e-01	 3.5314e+02	 1.9937e+02
 5.7665e+03	 1.6260e+02	 4.7478e+00	 4.4594e-01	 3.5315e+02	 2.0219e+02
 8.6498e+03	 1.6260e+02	 4.6294e+00	 4.6465e-01	 3.5315e+02	 2.0716e+02
 1.2975e+04	 1.6260e+02	 4.3946e+00	 2.9296e-01	 3.5315e+02	 2.0987e+02
 1.9462e+04	 1.6260e+02	 4.3241e+00	 3.3733e-01	 3.5315e+02	 2.1269e+02
 2.9193e+04	 1.6260e+02	 4.2298e+00	 3.9187e-01	 3.5315e+02	 2.1512e+02
 4.3789e+04	 1.6260e+02	 4.1107e+00	 4.3620e-01	 3.5315e+02	 2.1798e+02
 6.5684e+04	 1.6260e+02	 3.9746e+00	 4.6052e-01	 3.5315e+02	 2.2044e+02
 9.8526e+04	 1.6260e+02	 3.8337e+00	 4.7289e-01	 3.5315e+02	 2.2287e+02
 1.4779e+05	 1.6260e+02	 3.6665e+00	 4.8838e-01	 3.5316e+02	 2.2562e+02
 2.2168e+05	 1.6260e+02	 3.5328e+00	 4.5683e-01	 3.5315e+02	 2.2819e+02
 3.3253e+05	 1.6260e+02	 3.4131e+00	 4.1596e-01	 3.5316e+02	 2.3094e+02
 4.9879e+05	 1.6260e+02	 3.3105e+00	 3.7158e-01	 3.5316e+02	 2.3350e+02
 7.4818e+05	 1.6260e+02	 3.2794e+00	 2.6695e-01	 3.5316e+02	 2.4150e+02
 9.0000e+05	 1.6260e+02	 3.2494e+00	 2.4647e-01	 3.5316e+02	 2.4925e+02
 1.0000e+02	 2.4650e+02	 5.6388e+00	 2.5796e-01	 3.5316e+02	 2.5708e+02
 1.5000e+02	 2.4650e+02	 5.5761e+00	 2.7566e-01	 3.5315e+02	 2.5964e+02
 2.2500e+02	 2.4650e+02	 5.5028e+00	 2.9062e-01	 3.5315e+02	 2.6220e+02
 3.3750e+02	 2.4650e+02	 5.4272e+00	 3.0931e-01	 3.5315e+02	 2.6498e+02
 5.0625e+02	 2.4650e+02	 5.3461e+00	 3.2906e-01	 3.5314e+02	 2.6750e+02
 7.5938e+02	 2.4650e+02	 5.2593e+00	 3.4896e-01	 3.5315e+02	 2.7023e+02
 1.1391e+03	 2.4650e+02	 5.1670e+00	 3.6927e-01	 3.5314e+02	 2.7287e+02
 1.7086e+03	 2.4650e+02	 5.0690e+00	 3.8899e-01	 3.5315e+02	 2.7567e+02
 2.5629e+03	 2.4650e+02	 4.9657e+00	 4.0837e-01	 3.5315e+02	 2.8062e+02
 3.8443e+03	 2.4650e+02	 4.8578e+00	 4.2722e-01	 3.5315e+02	 2.8325e+02
 5.7665e+03	 2.4650e+02	 4.7451e+00	 4.4598e-01	 3.5315e+02	 2.8569e+02
 8.6498e+03	 2.4650e+02	 4.6267e+00	 4.6465e-01	 3.5315e+02	 2.9087e+02
 1.2975e+04	 2.4650e+02	 4.4016e+00	 2.9537e-01	 3.5316e+02	 2.9331e+02
 1.9462e+04	 2.4650e+02	 4.3371e+00	 3.4863e-01	 3.5315e+02	 2.9594e+02
 2.9193e+04	 2.4650e+02	 4.2340e+00	 3.9972e-01	 3.5316e+02	 2.9837e+02
 4.3789e+04	 2.4650e+02	 4.1098e+00	 4.4005e-01	 3.5315e+02	 3.0095e+02
 6.5684e+04	 2.4650e+02	 3.9743e+00	 4.6974e-01	 3.5316e+02	 3.0362e+02
 9.8526e+04	 2.4650e+02	 3.8319e+00	 4.7686e-01	 3.5316e+02	 3.0606e+02
 1.4779e+05	 2.4650e+02	 3.6644e+00	 4.8748e-01	 3.5316e+02	 3.0875e+02
 2.2168e+05	 2.4650e+02	 3.5310e+00	 4.5607e-01	 3.5316e+02	 3.1131e+02
 3.3253e+05	 2.4650e+02	 3.4115e+00	 4.1512e-01	 3.5315e+02	 3.1419e+02
 4.9879e+05	 2.4650e+02	 3.3093e+00	 3.7082e-01	 3.5315e+02	 3.1675e+02
 7.4818e+05	 2.4650e+02	 3.2782e+00	 2.6613e-01	 3.5315e+02	 3.2445e+02
 9.0000e+05	 2.4650e+02	 3.2483e+00	 2.4569e-01	 3.5314e+02	 3.3237e+02
 1.0000e+02	 3.2960e+02	 5.6366e+00	 2.5903e-01	 3.5314e+02	 3.4066e+02
 1.5000e+02	 3.2960e+02	 5.5736e+00	 2.7518e-01	 3.5315e+02	 3.4316e+02
 2.2500e+02	 3.2960e+02	 5.5004e+00	 2.9126e-01	 3.5315e+02	 3.4595e+02
 3.3750e+02	 3.2960e+02	 5.4248e+00	 3.1002e-01	 3.5315e+02	 3.4844e+02
 5.0625e+02	 3.2960e+02	 5.3436e+00	 3.2936e-01	 3.5315e+02	 3.5089e+02
 7.5938e+02	 3.2960e+02	 5.2567e+00	 3.4944e-01	 3.5315e+02	 3.5344e+02
 1.1391e+03	 3.2960e+02	 5.1643e+00	 3.6941e-01	 3.5314e+02	 3.5606e+02
 1.7086e+03	 3.2960e+02	 5.0662e+00	 3.8948e-01	 3.5314e+02	 3.5887e+02
 2.5629e+03	 3.2960e+02	 4.9631e+00	 4.0843e-01	 3.5315e+02	 3.6400e+02
 3.8443e+03	 3.2960e+02	 4.8551e+00	 4.2724e-01	 3.5315e+02	 3.6644e+02
 5.7665e+03	 3.2960e+02	 4.7424e+00	 4.4603e-01	 3.5315e+02	 3.6887e+02
 8.6498e+03	 3.2960e+02	 4.6240e+00	 4.6459e-01	 3.5315e+02	 3.7412e+02
 1.2975e+04	 3.2960e+02	 4.4047e+00	 2.9733e-01	 3.5315e+02	 3.7678e+02
 1.9462e+04	 3.2960e+02	 4.3338e+00	 3.4797e-01	 3.5315e+02	 3.7937e+02
 2.9193e+04	 3.2960e+02	 4.2313e+00	 3.9920e-01	 3.5315e+02	 3.8181e+02
 4.3789e+04	 3.2960e+02	 4.1073e+00	 4.3892e-01	 3.5315e+02	 3.8444e+02
 6.5684e+04	 3.2960e+02	 3.9714e+00	 4.6581e-01	 3.5315e+02	 3.8689e+02
 9.8526e+04	 3.2960e+02	 3.8297e+00	 4.7251e-01	 3.5316e+02	 3.8931e+02
 1.4779e+05	 3.2960e+02	 3.6627e+00	 4.8673e-01	 3.5316e+02	 3.9194e+02
 2.2168e+05	 3.2960e+02	 3.5297e+00	 4.5530e-01	 3.5316e+02	 3.9462e+02
 3.3253e+05	 3.2960e+02	 3.4104e+00	 4.1436e-01	 3.5315e+02	 3.9731e+02
 4.9879e+05	 3.2960e+02	 3.3084e+00	 3.7027e-01	 3.5316e+02	 3.9995e+02
 7.4818e+05	 3.2960e+02	 3.2775e+00	 2.6569e-01	 3.5316e+02	 4.0787e+02
 9.0000e+05	 3.2960e+02	 3.2477e+00	 2.4526e-01	 3.5315e+02	 4.1544e+02
 1.0000e+02	 4.1270e+02	 5.6352e+00	 2.5981e-01	 3.5314e+02	 4.2370e+02
 1.5000e+02	 4.1270e+02	 5.5667e+00	 2.7245e-01	 3.5314e+02	 4.2614e+02
 2.2500e+02	 4.1270e+02	 5.4984e+00	 2.9176e-01	 3.5314e+02	 4.2894e+02
 3.3750e+02	 4.1270e+02	 5.4228e+00	 3.1049e-01	 3.5315e+02	 4.3137e+02
 5.0625e+02	 4.1270e+02	 5.3418e+00	 3.2983e-01	 3.5315e+02	 4.3383e+02
 7.5938e+02	 4.1270e+02	 5.2552e+00	 3.4987e-01	 3.5314e+02	 4.3644e+02
 1.1391e+03	 4.1270e+02	 5.1629e+00	 3.7012e-01	 3.5315e+02	 4.3900e+02
 1.7086e+03	 4.1270e+02	 5.0654e+00	 3.8990e-01	 3.5315e+02	 4.4155e+02
 2.5629e+03	 4.1270e+02	 4.9768e+00	 4.2356e-01	 3.5317e+02	 4.4650e+02
 3.8443e+03	 4.1270e+02	 4.8714e+00	 4.4306e-01	 3.5318e+02	 4.4919e+02
 5.7665e+03	 4.1270e+02	 4.7600e+00	 4.6120e-01	 3.5318e+02	 4.5162e+02
 8.6498e+03	 4.1270e+02	 4.6460e+00	 4.8132e-01	 3.5318e+02	 4.5669e+02
 1.2975e+04	 4.1270e+02	 4.4129e+00	 3.0769e-01	 3.5319e+02	 4.5912e+02
 1.9462e+04	 4.1270e+02	 4.3400e+00	 3.4990e-01	 3.5319e+02	 4.6173e+02
 2.9193e+04	 4.1270e+02	 4.2510e+00	 4.0812e-01	 3.5318e+02	 4.6419e+02
 4.3789e+04	 4.1270e+02	 4.1289e+00	 4.4846e-01	 3.5319e+02	 4.6675e+02
 6.5684e+04	 4.1270e+02	 3.9944e+00	 4.7656e-01	 3.5318e+02	 4.6944e+02
 9.8526e+04	 4.1270e+02	 3.8530e+00	 4.8777e-01	 3.5318e+02	 4.7187e+02
 1.4779e+05	 4.1270e+02	 3.6850e+00	 4.9927e-01	 3.5319e+02	 4.7467e+02
 2.2168e+05	 4.1270e+02	 3.5511e+00	 4.6755e-01	 3.5319e+02	 4.7725e+02
 3.3253e+05	 4.1270e+02	 3.4307e+00	 4.2622e-01	 3.5319e+02	 4.8003e+02
 4.9879e+05	 4.1270e+02	 3.3275e+00	 3.8166e-01	 3.5319e+02	 4.8264e+02
 7.4818e+05	 4.1270e+02	 3.2976e+00	 2.7751e-01	 3.5318e+02	 4.9070e+02
 9.0000e+05	 4.1270e+02	 3.2701e+00	 2.5849e-01	 3.5318e+02	 4.9850e+02
 1.0000e+02	 4.9580e+02	 6.1223e+00	 4.6324e-01	 3.5319e+02	 5.0670e+02
 1.5000e+02	 4.9580e+02	 6.0172e+00	 4.5923e-01	 3.5318e+02	 5.0916e+02
 2.2500e+02	 4.9580e+02	 5.9122e+00	 4.5958e-01	 3.5317e+02	 5.1194e+02
 3.3750e+02	 4.9580e+02	 5.8061e+00	 4.6348e-01	 3.5317e+02	 5.1437e+02
 5.0625e+02	 4.9580e+02	 5.6968e+00	 4.7035e-01	 3.5316e+02	 5.1683e+02
 7.5938e+02	 4.9580e+02	 5.5846e+00	 4.7905e-01	 3.5316e+02	 5.1944e+02
 1.1391e+03	 4.9580e+02	 5.4691e+00	 4.8961e-01	 3.5316e+02	 5.2200e+02
 1.7086e+03	 4.9580e+02	 5.3497e+00	 5.0208e-01	 3.5316e+02	 5.2464e+02
 2.5629e+03	 4.9580e+02	 5.2323e+00	 5.1581e-01	 3.5316e+02	 5.2970e+02
 3.8443e+03	 4.9580e+02	 5.1052e+00	 5.3052e-01	 3.5315e+02	 5.3244e+02
 5.7665e+03	 4.9580e+02	 4.9724e+00	 5.4602e-01	 3.5316e+02	 5.3487e+02
 8.6498e+03	 4.9580e+02	 4.8395e+00	 5.6295e-01	 3.5315e+02	 5.4000e+02
