PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 60°C Absorption, 30.4.2026, 11:14
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 9.0000e+05	 7.7800e+01	 3.5886e+00	 1.8005e-01	 3.3315e+02	 1.6033e+02
 1.0000e+02	 1.5760e+02	 6.3124e+00	 1.8197e-01	 3.3314e+02	 1.6745e+02
 1.5000e+02	 1.5760e+02	 6.2752e+00	 1.6881e-01	 3.3315e+02	 1.6991e+02
 2.2500e+02	 1.5760e+02	 6.2427e+00	 1.6254e-01	 3.3315e+02	 1.7270e+02
 3.3750e+02	 1.5760e+02	 6.2115e+00	 1.6107e-01	 3.3315e+02	 1.7531e+02
 5.0625e+02	 1.5760e+02	 6.1816e+00	 1.6630e-01	 3.3314e+02	 1.7798e+02
 7.5938e+02	 1.5760e+02	 6.1507e+00	 1.7922e-01	 3.3314e+02	 1.8056e+02
 1.1391e+03	 1.5760e+02	 6.1179e+00	 2.0128e-01	 3.3315e+02	 1.8562e+02
 1.7086e+03	 1.5760e+02	 6.0806e+00	 2.3546e-01	 3.3314e+02	 1.8806e+02
 2.5629e+03	 1.5760e+02	 6.0360e+00	 2.8398e-01	 3.3315e+02	 1.9070e+02
 3.8443e+03	 1.5760e+02	 5.9798e+00	 3.5006e-01	 3.3314e+02	 1.9319e+02
 5.7665e+03	 1.5760e+02	 5.9047e+00	 4.3662e-01	 3.3315e+02	 1.9562e+02
 8.6498e+03	 1.5760e+02	 5.8027e+00	 5.4588e-01	 3.3314e+02	 1.9825e+02
 1.2975e+04	 1.5760e+02	 5.6596e+00	 6.7520e-01	 3.3314e+02	 2.0069e+02
 1.9462e+04	 1.5760e+02	 5.4614e+00	 8.1319e-01	 3.3314e+02	 2.0344e+02
 2.9193e+04	 1.5760e+02	 5.1973e+00	 9.3505e-01	 3.3314e+02	 2.0600e+02
 4.3789e+04	 1.5760e+02	 4.8765e+00	 1.0047e+00	 3.3315e+02	 2.0872e+02
 6.5684e+04	 1.5760e+02	 4.5335e+00	 9.9348e-01	 3.3314e+02	 2.1119e+02
 9.8526e+04	 1.5760e+02	 4.2277e+00	 9.0117e-01	 3.3314e+02	 2.1401e+02
 1.4779e+05	 1.5760e+02	 3.9798e+00	 7.5779e-01	 3.3314e+02	 2.1650e+02
 2.2168e+05	 1.5760e+02	 3.8071e+00	 6.0642e-01	 3.3314e+02	 2.1941e+02
 3.3253e+05	 1.5760e+02	 3.6836e+00	 4.7588e-01	 3.3315e+02	 2.2189e+02
 4.9879e+05	 1.5760e+02	 3.6076e+00	 3.7840e-01	 3.3315e+02	 2.2472e+02
 7.4818e+05	 1.5760e+02	 3.6061e+00	 2.1482e-01	 3.3314e+02	 2.3244e+02
 9.0000e+05	 1.5760e+02	 3.5882e+00	 1.8494e-01	 3.3315e+02	 2.4012e+02
 1.0000e+02	 2.3740e+02	 6.3123e+00	 1.8200e-01	 3.3315e+02	 2.4705e+02
 1.5000e+02	 2.3740e+02	 6.2759e+00	 1.6832e-01	 3.3315e+02	 2.4951e+02
 2.2500e+02	 2.3740e+02	 6.2426e+00	 1.6248e-01	 3.3315e+02	 2.5201e+02
 3.3750e+02	 2.3740e+02	 6.2116e+00	 1.6135e-01	 3.3314e+02	 2.5470e+02
 5.0625e+02	 2.3740e+02	 6.1811e+00	 1.6647e-01	 3.3315e+02	 2.5714e+02
 7.5938e+02	 2.3740e+02	 6.1503e+00	 1.7932e-01	 3.3315e+02	 2.5989e+02
 1.1391e+03	 2.3740e+02	 6.1174e+00	 2.0152e-01	 3.3315e+02	 2.6522e+02
 1.7086e+03	 2.3740e+02	 6.0802e+00	 2.3557e-01	 3.3315e+02	 2.6769e+02
 2.5629e+03	 2.3740e+02	 6.0357e+00	 2.8421e-01	 3.3315e+02	 2.7053e+02
 3.8443e+03	 2.3740e+02	 5.9792e+00	 3.5008e-01	 3.3315e+02	 2.7300e+02
 5.7665e+03	 2.3740e+02	 5.9043e+00	 4.3665e-01	 3.3314e+02	 2.7544e+02
 8.6498e+03	 2.3740e+02	 5.8023e+00	 5.4585e-01	 3.3314e+02	 2.7820e+02
 1.2975e+04	 2.3740e+02	 5.6595e+00	 6.7514e-01	 3.3314e+02	 2.8062e+02
 1.9462e+04	 2.3740e+02	 5.4613e+00	 8.1318e-01	 3.3315e+02	 2.8320e+02
 2.9193e+04	 2.3740e+02	 5.1971e+00	 9.3500e-01	 3.3315e+02	 2.8606e+02
 4.3789e+04	 2.3740e+02	 4.8762e+00	 1.0047e+00	 3.3315e+02	 2.8872e+02
 6.5684e+04	 2.3740e+02	 4.5334e+00	 9.9327e-01	 3.3315e+02	 2.9119e+02
 9.8526e+04	 2.3740e+02	 4.2275e+00	 9.0118e-01	 3.3315e+02	 2.9398e+02
 1.4779e+05	 2.3740e+02	 3.9798e+00	 7.5795e-01	 3.3315e+02	 2.9645e+02
 2.2168e+05	 2.3740e+02	 3.8070e+00	 6.0634e-01	 3.3315e+02	 2.9900e+02
 3.3253e+05	 2.3740e+02	 3.6835e+00	 4.7601e-01	 3.3314e+02	 3.0162e+02
 4.9879e+05	 2.3740e+02	 3.6075e+00	 3.7841e-01	 3.3315e+02	 3.0419e+02
 7.4818e+05	 2.3740e+02	 3.6058e+00	 2.1496e-01	 3.3315e+02	 3.1219e+02
 9.0000e+05	 2.3740e+02	 3.5878e+00	 1.8392e-01	 3.3314e+02	 3.1987e+02
 1.0000e+02	 3.1720e+02	 6.3122e+00	 1.8216e-01	 3.3314e+02	 3.2651e+02
 1.5000e+02	 3.1720e+02	 6.2746e+00	 1.6943e-01	 3.3315e+02	 3.2914e+02
 2.2500e+02	 3.1720e+02	 6.2425e+00	 1.6270e-01	 3.3314e+02	 3.3164e+02
 3.3750e+02	 3.1720e+02	 6.2111e+00	 1.6122e-01	 3.3315e+02	 3.3445e+02
 5.0625e+02	 3.1720e+02	 6.1808e+00	 1.6646e-01	 3.3314e+02	 3.3706e+02
 7.5938e+02	 3.1720e+02	 6.1501e+00	 1.7946e-01	 3.3315e+02	 3.3967e+02
 1.1391e+03	 3.1720e+02	 6.1172e+00	 2.0145e-01	 3.3314e+02	 3.4464e+02
 1.7086e+03	 3.1720e+02	 6.0800e+00	 2.3581e-01	 3.3314e+02	 3.4712e+02
 2.5629e+03	 3.1720e+02	 6.0353e+00	 2.8416e-01	 3.3315e+02	 3.4969e+02
 3.8443e+03	 3.1720e+02	 5.9789e+00	 3.5003e-01	 3.3315e+02	 3.5241e+02
 5.7665e+03	 3.1720e+02	 5.9041e+00	 4.3656e-01	 3.3315e+02	 3.5487e+02
 8.6498e+03	 3.1720e+02	 5.8019e+00	 5.4575e-01	 3.3315e+02	 3.5772e+02
 1.2975e+04	 3.1720e+02	 5.6590e+00	 6.7478e-01	 3.3315e+02	 3.6031e+02
 1.9462e+04	 3.1720e+02	 5.4608e+00	 8.1289e-01	 3.3315e+02	 3.6294e+02
 2.9193e+04	 3.1720e+02	 5.1970e+00	 9.3480e-01	 3.3315e+02	 3.6550e+02
 4.3789e+04	 3.1720e+02	 4.8762e+00	 1.0046e+00	 3.3314e+02	 3.6822e+02
 6.5684e+04	 3.1720e+02	 4.5334e+00	 9.9327e-01	 3.3315e+02	 3.7069e+02
 9.8526e+04	 3.1720e+02	 4.2276e+00	 9.0114e-01	 3.3316e+02	 3.7348e+02
 1.4779e+05	 3.1720e+02	 3.9796e+00	 7.5785e-01	 3.3315e+02	 3.7594e+02
 2.2168e+05	 3.1720e+02	 3.8068e+00	 6.0645e-01	 3.3315e+02	 3.7891e+02
 3.3253e+05	 3.1720e+02	 3.6834e+00	 4.7597e-01	 3.3315e+02	 3.8137e+02
 4.9879e+05	 3.1720e+02	 3.6072e+00	 3.7842e-01	 3.3315e+02	 3.8426e+02
