PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 50°C Absorption, 12.5.2026, 11:52
Diameter[mm] 1.128e+00  Thickness[mm] 2.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 9.0000e+05	 8.1300e+01	 1.5250e+00	 3.0879e-02	 3.2317e+02	 1.6538e+02
 1.0000e+02	 1.6270e+02	 1.8335e+00	 3.9396e-02	 3.2316e+02	 1.7477e+02
 1.5000e+02	 1.6270e+02	 1.8245e+00	 4.0084e-02	 3.2317e+02	 1.7728e+02
 2.2500e+02	 1.6270e+02	 1.8154e+00	 4.0813e-02	 3.2317e+02	 1.8258e+02
 3.3750e+02	 1.6270e+02	 1.8057e+00	 4.2976e-02	 3.2317e+02	 1.8532e+02
 5.0625e+02	 1.6270e+02	 1.7952e+00	 4.5678e-02	 3.2316e+02	 1.8775e+02
 7.5938e+02	 1.6270e+02	 1.7837e+00	 4.8952e-02	 3.2317e+02	 1.9060e+02
 1.1391e+03	 1.6270e+02	 1.7710e+00	 5.2490e-02	 3.2316e+02	 1.9319e+02
 1.7086e+03	 1.6270e+02	 1.7574e+00	 5.6075e-02	 3.2317e+02	 1.9589e+02
 2.5629e+03	 1.6270e+02	 1.7423e+00	 5.9414e-02	 3.2318e+02	 2.0088e+02
 3.8443e+03	 1.6270e+02	 1.7264e+00	 6.2401e-02	 3.2316e+02	 2.0350e+02
 5.7665e+03	 1.6270e+02	 1.7098e+00	 6.4981e-02	 3.2317e+02	 2.0600e+02
 8.6498e+03	 1.6270e+02	 1.6931e+00	 6.7382e-02	 3.2316e+02	 2.0888e+02
 1.2975e+04	 1.6270e+02	 1.6754e+00	 7.0041e-02	 3.2316e+02	 2.1407e+02
 1.9462e+04	 1.6270e+02	 1.6569e+00	 7.3303e-02	 3.2316e+02	 2.1650e+02
 2.9193e+04	 1.6270e+02	 1.6361e+00	 7.6363e-02	 3.2317e+02	 2.1900e+02
 4.3789e+04	 1.6270e+02	 1.6124e+00	 7.7257e-02	 3.2316e+02	 2.2407e+02
 6.5684e+04	 1.6270e+02	 1.5886e+00	 7.3915e-02	 3.2316e+02	 2.2660e+02
 9.8526e+04	 1.6270e+02	 1.5676e+00	 6.6496e-02	 3.2317e+02	 2.2925e+02
 1.4779e+05	 1.6270e+02	 1.5503e+00	 5.7235e-02	 3.2317e+02	 2.3438e+02
 2.2168e+05	 1.6270e+02	 1.5510e+00	 4.6514e-02	 3.2316e+02	 2.3694e+02
 3.3253e+05	 1.6270e+02	 1.5421e+00	 3.9383e-02	 3.2316e+02	 2.3964e+02
 4.9879e+05	 1.6270e+02	 1.5338e+00	 3.4851e-02	 3.2316e+02	 2.4213e+02
 7.4818e+05	 1.6270e+02	 1.5270e+00	 3.2020e-02	 3.2316e+02	 2.4491e+02
 9.0000e+05	 1.6270e+02	 1.5247e+00	 3.0757e-02	 3.2316e+02	 2.4750e+02
 1.0000e+02	 2.4480e+02	 1.8327e+00	 3.8830e-02	 3.2315e+02	 2.5683e+02
 1.5000e+02	 2.4480e+02	 1.8239e+00	 3.8996e-02	 3.2315e+02	 2.5925e+02
 2.2500e+02	 2.4480e+02	 1.8154e+00	 4.0898e-02	 3.2314e+02	 2.6458e+02
 3.3750e+02	 2.4480e+02	 1.8056e+00	 4.2966e-02	 3.2314e+02	 2.6730e+02
 5.0625e+02	 2.4480e+02	 1.7950e+00	 4.5872e-02	 3.2314e+02	 2.6988e+02
 7.5938e+02	 2.4480e+02	 1.7835e+00	 4.9138e-02	 3.2314e+02	 2.7264e+02
 1.1391e+03	 2.4480e+02	 1.7709e+00	 5.2613e-02	 3.2314e+02	 2.7538e+02
 1.7086e+03	 2.4480e+02	 1.7572e+00	 5.6173e-02	 3.2313e+02	 2.7807e+02
 2.5629e+03	 2.4480e+02	 1.7421e+00	 5.9483e-02	 3.2312e+02	 2.8336e+02
 3.8443e+03	 2.4480e+02	 1.7262e+00	 6.2443e-02	 3.2312e+02	 2.8588e+02
 5.7665e+03	 2.4480e+02	 1.7096e+00	 6.5030e-02	 3.2312e+02	 2.8832e+02
 8.6498e+03	 2.4480e+02	 1.6930e+00	 6.7325e-02	 3.2311e+02	 2.9088e+02
 1.2975e+04	 2.4480e+02	 1.6754e+00	 6.9977e-02	 3.2312e+02	 2.9582e+02
 1.9462e+04	 2.4480e+02	 1.6570e+00	 7.3231e-02	 3.2313e+02	 2.9836e+02
 2.9193e+04	 2.4480e+02	 1.6364e+00	 7.6266e-02	 3.2313e+02	 3.0088e+02
 4.3789e+04	 2.4480e+02	 1.6127e+00	 7.7120e-02	 3.2314e+02	 3.0600e+02
 6.5684e+04	 2.4480e+02	 1.5892e+00	 7.3870e-02	 3.2313e+02	 3.0850e+02
 9.8526e+04	 2.4480e+02	 1.5680e+00	 6.6311e-02	 3.2314e+02	 3.1107e+02
 1.4779e+05	 2.4480e+02	 1.5508e+00	 5.6887e-02	 3.2314e+02	 3.1638e+02
 2.2168e+05	 2.4480e+02	 1.5516e+00	 4.6356e-02	 3.2314e+02	 3.1882e+02
 3.3253e+05	 2.4480e+02	 1.5426e+00	 3.9254e-02	 3.2314e+02	 3.2125e+02
 4.9879e+05	 2.4480e+02	 1.5344e+00	 3.4906e-02	 3.2314e+02	 3.2400e+02
 7.4818e+05	 2.4480e+02	 1.5276e+00	 3.1995e-02	 3.2315e+02	 3.2650e+02
 9.0000e+05	 2.4480e+02	 1.5253e+00	 3.0723e-02	 3.2314e+02	 3.2925e+02
 1.0000e+02	 3.2660e+02	 1.8340e+00	 3.9442e-02	 3.2315e+02	 3.3833e+02
 1.5000e+02	 3.2660e+02	 1.8257e+00	 3.9591e-02	 3.2315e+02	 3.4078e+02
 2.2500e+02	 3.2660e+02	 1.8161e+00	 4.0945e-02	 3.2315e+02	 3.4593e+02
 3.3750e+02	 3.2660e+02	 1.8065e+00	 4.3123e-02	 3.2315e+02	 3.4838e+02
 5.0625e+02	 3.2660e+02	 1.7959e+00	 4.5917e-02	 3.2315e+02	 3.5082e+02
 7.5938e+02	 3.2660e+02	 1.7843e+00	 4.9235e-02	 3.2316e+02	 3.5357e+02
 1.1391e+03	 3.2660e+02	 1.7714e+00	 5.2787e-02	 3.2316e+02	 3.5613e+02
 1.7086e+03	 3.2660e+02	 1.7578e+00	 5.6299e-02	 3.2316e+02	 3.5896e+02
 2.5629e+03	 3.2660e+02	 1.7426e+00	 5.9598e-02	 3.2316e+02	 3.6408e+02
 3.8443e+03	 3.2660e+02	 1.7266e+00	 6.2528e-02	 3.2316e+02	 3.6657e+02
 5.7665e+03	 3.2660e+02	 1.7100e+00	 6.5008e-02	 3.2315e+02	 3.6900e+02
 8.6498e+03	 3.2660e+02	 1.6933e+00	 6.7285e-02	 3.2316e+02	 3.7157e+02
 1.2975e+04	 3.2660e+02	 1.6757e+00	 6.9947e-02	 3.2315e+02	 3.7680e+02
 1.9462e+04	 3.2660e+02	 1.6573e+00	 7.3134e-02	 3.2316e+02	 3.7925e+02
 2.9193e+04	 3.2660e+02	 1.6366e+00	 7.6127e-02	 3.2315e+02	 3.8175e+02
 4.3789e+04	 3.2660e+02	 1.6129e+00	 7.7074e-02	 3.2316e+02	 3.8682e+02
 6.5684e+04	 3.2660e+02	 1.5891e+00	 7.3761e-02	 3.2316e+02	 3.8957e+02
 9.8526e+04	 3.2660e+02	 1.5682e+00	 6.6331e-02	 3.2315e+02	 3.9207e+02
 1.4779e+05	 3.2660e+02	 1.5508e+00	 5.6967e-02	 3.2315e+02	 3.9707e+02
 2.2168e+05	 3.2660e+02	 1.5516e+00	 4.6383e-02	 3.2315e+02	 3.9957e+02
 3.3253e+05	 3.2660e+02	 1.5426e+00	 3.9320e-02	 3.2315e+02	 4.0238e+02
 4.9879e+05	 3.2660e+02	 1.5343e+00	 3.4907e-02	 3.2316e+02	 4.0482e+02
 7.4818e+05	 3.2660e+02	 1.5275e+00	 3.1845e-02	 3.2315e+02	 4.0757e+02
 9.0000e+05	 3.2660e+02	 1.5253e+00	 3.0814e-02	 3.2315e+02	 4.1019e+02
 1.0000e+02	 4.0750e+02	 1.8339e+00	 3.8624e-02	 3.2315e+02	 4.1989e+02
 1.5000e+02	 4.0750e+02	 1.8237e+00	 3.9404e-02	 3.2314e+02	 4.2252e+02
 2.2500e+02	 4.0750e+02	 1.8163e+00	 4.1071e-02	 3.2315e+02	 4.2782e+02
 3.3750e+02	 4.0750e+02	 1.8065e+00	 4.3233e-02	 3.2315e+02	 4.3025e+02
 5.0625e+02	 4.0750e+02	 1.7960e+00	 4.6167e-02	 3.2315e+02	 4.3275e+02
 7.5938e+02	 4.0750e+02	 1.7843e+00	 4.9419e-02	 3.2315e+02	 4.3532e+02
 1.1391e+03	 4.0750e+02	 1.7715e+00	 5.2922e-02	 3.2315e+02	 4.3788e+02
 1.7086e+03	 4.0750e+02	 1.7577e+00	 5.6407e-02	 3.2315e+02	 4.4063e+02
 2.5629e+03	 4.0750e+02	 1.7425e+00	 5.9657e-02	 3.2315e+02	 4.4589e+02
 3.8443e+03	 4.0750e+02	 1.7268e+00	 6.2556e-02	 3.2315e+02	 4.4838e+02
 5.7665e+03	 4.0750e+02	 1.7102e+00	 6.5017e-02	 3.2315e+02	 4.5082e+02
 8.6498e+03	 4.0750e+02	 1.6933e+00	 6.7241e-02	 3.2315e+02	 4.5357e+02
 1.2975e+04	 4.0750e+02	 1.6310e+00	 5.0911e-02	 3.2314e+02	 4.5882e+02
 1.9462e+04	 4.0750e+02	 1.6121e+00	 5.4756e-02	 3.2314e+02	 4.6132e+02
 2.9193e+04	 4.0750e+02	 1.5928e+00	 5.8025e-02	 3.2314e+02	 4.6383e+02
 4.3789e+04	 4.0750e+02	 1.5699e+00	 5.8494e-02	 3.2314e+02	 4.6900e+02
 6.5684e+04	 4.0750e+02	 1.5504e+00	 5.6051e-02	 3.2314e+02	 4.7157e+02
 9.8526e+04	 4.0750e+02	 1.5452e+00	 4.8383e-02	 3.2314e+02	 4.7407e+02
 1.4779e+05	 4.0750e+02	 1.5323e+00	 4.1524e-02	 3.2315e+02	 4.7660e+02
 2.2168e+05	 4.0750e+02	 1.5228e+00	 3.5052e-02	 3.2315e+02	 4.7938e+02
 3.3253e+05	 4.0750e+02	 1.5155e+00	 3.0164e-02	 3.2315e+02	 4.8213e+02
 4.9879e+05	 4.0750e+02	 1.5083e+00	 2.7245e-02	 3.2316e+02	 4.8457e+02
 7.4818e+05	 4.0750e+02	 1.5024e+00	 2.5377e-02	 3.2315e+02	 4.8700e+02
 9.0000e+05	 4.0750e+02	 1.5004e+00	 2.4395e-02	 3.2315e+02	 4.8961e+02
 1.0000e+02	 4.8700e+02	 1.6893e+00	 1.3934e-02	 3.2316e+02	 4.9882e+02
 1.5000e+02	 4.8700e+02	 1.6851e+00	 1.5450e-02	 3.2316e+02	 5.0135e+02
 2.2500e+02	 4.8700e+02	 1.6801e+00	 1.7046e-02	 3.2316e+02	 5.0658e+02
 3.3750e+02	 4.8700e+02	 1.6754e+00	 1.8777e-02	 3.2316e+02	 5.0907e+02
 5.0625e+02	 4.8700e+02	 1.6702e+00	 2.1067e-02	 3.2315e+02	 5.1178e+02
 7.5938e+02	 4.8700e+02	 1.6643e+00	 2.3574e-02	 3.2315e+02	 5.1425e+02
 1.1391e+03	 4.8700e+02	 1.6572e+00	 2.6365e-02	 3.2315e+02	 5.1950e+02
 1.7086e+03	 4.8700e+02	 1.6501e+00	 2.9537e-02	 3.2316e+02	 5.2200e+02
 2.5629e+03	 4.8700e+02	 1.6412e+00	 3.2740e-02	 3.2314e+02	 5.2713e+02
 3.8443e+03	 4.8700e+02	 1.6320e+00	 3.6011e-02	 3.2314e+02	 5.2982e+02
 5.7665e+03	 4.8700e+02	 1.6220e+00	 3.9259e-02	 3.2314e+02	 5.3227e+02
 8.6498e+03	 4.8700e+02	 1.6115e+00	 4.2509e-02	 3.2314e+02	 5.3483e+02
 1.2975e+04	 4.8700e+02	 1.5991e+00	 4.5909e-02	 3.2314e+02	 5.4000e+02
 1.9462e+04	 4.8700e+02	 1.5860e+00	 4.9557e-02	 3.2314e+02	 5.4263e+02
 2.9193e+04	 4.8700e+02	 1.5708e+00	 5.2427e-02	 3.2314e+02	 5.4507e+02
