Time_Relative_s,Fit_Success,Direction,Run_Label,Target_der_m,Der_m_Bound_Half_Width,RMSE_Log,R2,At_Bounds,Bounds_Hit_Count,Sequential_Bounds,Sequential_Bounds_Hit_Count,Fixed_der_m,Accepted,height,alpha,alpha_beta,omega_p,der_A,der_m,beta,de,tau_hn
-360.775,True,backward,pilot_free_der_m,,,0.18551624653187057,0.6068266240901585,True,1,True,1,,True,0.4822858504010334,0.3613428403856374,0.9999999999999981,271519.66142238054,0.2883735079190468,-0.15518908735077827,2.767454860687883,2.40899199835981,2.361766391329038e-07
-353.075,True,backward,pilot_free_der_m,,,0.18811280369516187,0.5993264056563072,True,1,True,1,,True,0.48161613247182766,0.36091549375111626,0.9999999999995413,271884.49016478134,0.2871675923670892,-0.15459679518604114,2.770731701225139,2.408681018503606,2.3430129437440114e-07
-350.295,True,backward,pilot_free_der_m,,,0.18906538621003385,0.5965438174323949,True,1,True,1,,True,0.4813988105750376,0.3607561267738333,0.9999999999991777,272228.1447663591,0.2872638774398481,-0.15461447134588505,2.7719556946737645,2.408726851879649,2.3342653903116339e-07
-347.825,True,backward,pilot_free_der_m,,,0.1899053935612448,0.593921636720169,True,1,True,1,,True,0.4811610445921185,0.3606297669804035,0.9999999999562353,272228.3333236392,0.28716370420775594,-0.15450667077787825,2.7729269503439937,2.4084354904035665,2.3296787805710083e-07
-345.325,True,backward,pilot_free_der_m,,,0.19076397607635046,0.59122193334638,True,1,True,1,,True,0.48105814641694694,0.3604442139654068,0.9999999999989587,272228.3239424673,0.2876291001714771,-0.15484453968949438,2.774354425051008,2.40924035076613,2.3229550767288606e-07
-342.765,True,backward,pilot_free_der_m,,,0.19165194525671506,0.588436885164054,True,1,True,1,,True,0.4806730520493105,0.3603199932949533,0.9999999999996625,272477.52452483587,0.2873091674248738,-0.15443872047132268,2.7753108864571816,2.408195341294188,2.3163393770368824e-07
-340.335,True,backward,pilot_free_der_m,,,0.19250299518309766,0.5857715705492786,True,1,True,1,,True,0.47981282800624586,0.36098387021495937,0.9999999999980903,273957.49254867673,0.28926474516194334,-0.15366579964058838,2.7702068776718702,2.399178139707938,2.3277545029151744e-07
-337.545,True,backward,pilot_free_der_m,,,0.19348942649627585,0.5826814980288919,True,1,True,1,,True,0.4794316715340901,0.36107521751732313,0.9999999999539905,274476.1778082616,0.2902200002688351,-0.1536133820719481,2.7695060514808496,2.396626300830675,2.326652624195818e-07
-334.965,True,backward,pilot_free_der_m,,,0.19441139660789844,0.5797887136477148,True,1,True,1,,True,0.47895180942409354,0.36084367437637505,0.9999999999962064,274476.21558532986,0.28917156773926783,-0.1529343101249437,2.7712831650005993,2.395863835833132,2.3183003873404903e-07
-329.835,True,backward,pilot_free_der_m,,,0.19627327223139138,0.5739526918731843,True,1,True,1,,True,0.47881039471184084,0.36062232989080756,0.9999999999999977,274837.59541554336,0.29137226796994253,-0.1540511019474511,2.7729841363478145,2.3967220230583703,2.307294059808332e-07
