Time_Relative_s,Fit_Success,Direction,Run_Label,Target_der_m,Der_m_Bound_Half_Width,RMSE_Log,R2,At_Bounds,Bounds_Hit_Count,Sequential_Bounds,Sequential_Bounds_Hit_Count,Fixed_der_m,Accepted,height,alpha,alpha_beta,omega_p,der_A,der_m,beta,de,tau_hn
-350.72,True,backward,pilot_free_der_m,,,0.012840360094077656,0.9998345634355932,False,0,True,0,,True,1.4229245515817557,0.8259337689131107,0.9311976443622121,451590.13122034783,0.6946011530887963,-0.33282912025188033,1.1274483250486582,2.6165873858150324,1.9555798364393645e-06
-342.39,True,backward,pilot_free_der_m,,,0.01296719257583645,0.9998312577413667,False,0,True,0,,True,1.422884255819884,0.8256984880039556,0.9317135794400161,451656.29948497,0.7010389459213051,-0.33435581112011,1.1283944357126552,2.6169144475829493,1.9535001944415973e-06
-339.83,True,backward,pilot_free_der_m,,,0.013011606864966852,0.9998300933292724,False,0,True,0,,True,1.4228690748331254,0.8256295217469991,0.9318669019958294,451669.70669621724,0.7030102924191656,-0.3348200044999647,1.1286743962643635,2.617001354015433,1.952912208040051e-06
-337.14,True,backward,pilot_free_der_m,,,0.013052680714959465,0.9998290167499568,False,0,True,0,,True,1.4228642841306034,0.8255741755525924,0.9320239255965856,451690.68546063756,0.7042846244683216,-0.33512387198069304,1.1289402614522697,2.6170360422689534,1.9523224159262284e-06
-334.59,True,backward,pilot_free_der_m,,,0.01309050970640785,0.9998280203531922,False,0,True,0,,True,1.4228791192365093,0.8255324019462392,0.9321610757100934,451704.351772817,0.705472574496075,-0.3353993366832839,1.1291635234576753,2.617069510948835,1.9518462500628426e-06
-332.0,True,backward,pilot_free_der_m,,,0.013131129558587942,0.9998269474575779,False,0,True,0,,True,1.4228638729237766,0.8254838055058158,0.932290071536016,451712.95075841714,0.7067675944474642,-0.335702242648952,1.1293862645370185,2.6170925380119416,1.9513903086385375e-06
-329.4,True,backward,pilot_free_der_m,,,0.013174058558181993,0.9998258101581264,False,0,True,0,,True,1.422883665793336,0.825427322026469,0.9324759181755706,451748.96528993244,0.7080360168977476,-0.3359989431906112,1.129688699771037,2.617136928430733,1.950670149650293e-06
-324.34,True,backward,pilot_free_der_m,,,0.013245745324815086,0.9998239012523285,False,0,True,0,,True,1.4228549770459218,0.8253338214584889,0.9327329625942514,451766.29418576095,0.7104039934550059,-0.3365513358081553,1.1301281231223168,2.617170106974802,1.9497707875332593e-06
-321.9,True,backward,pilot_free_der_m,,,0.013280300390018124,0.9998229771611755,False,0,True,0,,True,1.4228759680541858,0.8253003967621865,0.9328542678447332,451775.7952696759,0.7114440914915461,-0.33678801722947366,1.1303208765008492,2.617197389882732,1.9493713004796015e-06
-319.30999999999995,True,backward,pilot_free_der_m,,,0.013321612351459585,0.9998218683166823,False,0,True,0,,True,1.4228785144557883,0.8252534005457871,0.9330171176076787,451802.9479604417,0.7125490469322854,-0.33703874243563225,1.1305825786244823,2.617197266963876,1.9487669455705073e-06
-316.84,True,backward,pilot_free_der_m,,,0.013361731468401226,0.9998207858320036,False,0,True,0,,True,1.4229046067946338,0.8252392006862749,0.9331185045384052,451805.28718374105,0.7132848785177499,-0.33719051924864096,1.1307248901438722,2.6171691528207153,1.948496587432773e-06
-314.34,True,backward,pilot_free_der_m,,,0.013379644458324739,0.9998202996994872,False,0,True,0,,True,1.4229296226263373,0.8252180197484923,0.9332275998102376,451816.62488024286,0.7141879793111657,-0.3373850972303723,1.1308861143079063,2.61716197637274,1.9481508431396566e-06
-311.78,True,backward,pilot_free_der_m,,,0.013407081906108584,0.9998195578845962,False,0,True,0,,True,1.4229542241243287,0.8251929422522714,0.9333573685183822,451828.6113211555,0.7151723421889649,-0.33759978776197364,1.1310777404020063,2.6171434359197865,1.9477464692430433e-06
-309.22,True,backward,pilot_free_der_m,,,0.013435340689043222,0.999818791630583,False,0,True,0,,True,1.42297625898395,0.8251778311720889,0.9334430670037839,451824.67728253687,0.7161236057072964,-0.3378041047153243,1.1312023078442548,2.6171348199253432,1.947534690850971e-06
-306.59,True,backward,pilot_free_der_m,,,0.013466542155745291,0.99981794417944,False,0,True,0,,True,1.4230226222210531,0.8251614732037843,0.9335566908653512,451828.0025398706,0.7170801171654662,-0.3380087858222626,1.1313624316955928,2.617137098513621,1.9472276380738243e-06
-304.03,True,backward,pilot_free_der_m,,,0.013495985222329605,0.9998171424316559,False,0,True,0,,True,1.423033661097864,0.8251303706750546,0.9336725624651276,451838.6974039242,0.7182049440134536,-0.33825747105796766,1.131545505592374,2.6171428852806913,1.9468419155435942e-06
-301.36,True,backward,pilot_free_der_m,,,0.013528324100616312,0.9998162600915252,False,0,True,0,,True,1.4230621360792308,0.8251126063898657,0.9337865266226703,451842.62359373824,0.7190996543780807,-0.3384470807389304,1.1317079867538178,2.6171186879000157,1.9465276486399468e-06
-298.9,True,backward,pilot_free_der_m,,,0.013558978976701008,0.9998154218551487,False,0,True,0,,True,1.423080593132267,0.8250732905190735,0.9339371752057924,451868.16165597696,0.7201568016946523,-0.3386824655051323,1.1319445023098857,2.617128431613489,1.945979454332511e-06
-296.04,True,backward,pilot_free_der_m,,,0.013598403311942047,0.9998143415836229,False,0,True,0,,True,1.4231041349604854,0.8250527174539484,0.9340396951291257,451860.95564508013,0.7212768259462093,-0.338924277599519,1.1320969864950001,2.6171252517958377,1.945730002139663e-06
-293.59,True,backward,pilot_free_der_m,,,0.013632348314392199,0.9998134089301358,False,0,True,0,,True,1.42314147961455,0.8250359368030481,0.9341426346572288,451865.3744402027,0.7221815251373409,-0.3391170891132491,1.132244782302406,2.617128453349582,1.9454404640537547e-06
-290.79,True,backward,pilot_free_der_m,,,0.013675047074345992,0.9998122328921301,False,0,True,0,,True,1.4231539019276023,0.8250123604305746,0.9342531030263957,451866.25830023247,0.7232660128865276,-0.33935043768930523,1.1324110375010725,2.617108136148131,1.945130505805695e-06
-288.34,True,backward,pilot_free_der_m,,,0.013713478265075782,0.9998111713611357,False,0,True,0,,True,1.4231809550283263,0.8249964572219365,0.9343381159079559,451857.0946200135,0.7242827385802506,-0.33956935395586896,1.1325359130076904,2.617113804409568,1.9449407793452464e-06
-285.78,True,backward,pilot_free_der_m,,,0.013754722315607095,0.9998100289312409,False,0,True,0,,True,1.4232182274835234,0.8249789604827763,0.9344561823424543,451863.0178710313,0.7251505796489608,-0.33975214742448445,1.132703047112392,2.617098847778225,1.944610176704484e-06
-277.78,True,backward,pilot_free_der_m,,,0.013890642718174974,0.9998062404241804,False,0,True,0,,True,1.423313628570711,0.8249176323746195,0.9347984252556089,451863.043953225,0.7282340090127706,-0.34041058681972053,1.1332021386967872,2.617084048374694,1.9436956647034656e-06
-270.09,True,backward,pilot_free_der_m,,,0.01400432419124001,0.9998030275411055,False,0,True,0,,True,1.4233108465878592,0.8249002095702852,0.9347476767586819,451837.3926289587,0.73094867675824,-0.3409721516841612,1.1331645524076415,2.6172360529695484,1.943865784530787e-06
