Time_Relative_s,der_m,der_m_smooth
-360.775,-0.15518908735077827,-0.15301116759034064
-353.075,-0.15459679518604114,-0.1531134628366307
-350.295,-0.15461447134588505,-0.15321575808292076
-347.825,-0.15450667077787825,-0.15326976271296977
-345.325,-0.15484453968949438,-0.15332376734301875
-342.765,-0.15443872047132268,-0.15333042034495523
-340.335,-0.15366579964058838,-0.1533370733468917
-337.545,-0.1536133820719481,-0.15336557260314118
-334.965,-0.1529343101249437,-0.15339407185939066
-329.835,-0.1540511019474511,-0.15343885587221057
-327.325,-0.15259836217303113,-0.15348363988503047
-324.865,-0.15222527544347067,-0.1535485109784893
-319.715,-0.15301116759034064,-0.1536133820719481
-317.275,-0.15332376734301875,-0.15363959085626824
-314.715,-0.15166731035944175,-0.15366579964058838
-312.045,-0.1527384024027592,-0.15367727993806385
-309.44499999999994,-0.15221495195283258,-0.1536887602355393
-306.965,-0.1529074029617913,-0.15380182620580196
-304.525,-0.15321575808292076,-0.15391489217606463
-301.905,-0.15300435101356313,-0.1539363993928224
-299.155,-0.152250154817459,-0.15395790660958017
-296.655,-0.15348363988503047,-0.15400450427851564
-294.015,-0.15391489217606463,-0.1540511019474511
-286.405,-0.15339407185939066,-0.15415782373163378
-278.69499999999994,-0.1533370733468917,-0.15426454551581642
-270.575,-0.15531591815654297,-0.15435163299356955
-268.05499999999995,-0.15551161690253337,-0.15443872047132268
-265.325,-0.14426713182649611,-0.15447269562460048
-119.575,-0.14970524551319664,-0.15450667077787825
-111.65499999999996,-0.1501559285180871,-0.15455173298195968
-103.36499999999997,-0.14983686440052701,-0.15459679518604114
-100.86499999999997,-0.15043914191843374,-0.1546056332659631
-98.075,-0.15004575180978338,-0.15461447134588505
-95.58499999999998,-0.14984705088770517,-0.1546831226585204
-93.135,-0.15102961352522834,-0.15475177397115578
-90.58499999999998,-0.15144997357439074,-0.1547592047410749
-87.96499999999997,-0.1518012998313136,-0.15476663551099404
-85.15499999999997,-0.15051072787085865,-0.1548055876002442
-80.02499999999998,-0.1512479087620452,-0.15484453968949438
-77.58499999999998,-0.15119681097617568,-0.15498718927569022
-75.15499999999997,-0.15208011384044356,-0.15512983886188605
-69.90499999999997,-0.15241402452386782,-0.15515946310633216
-67.245,-0.15284156048892236,-0.15518908735077827
-64.65499999999997,-0.15395790660958017,-0.15525250275366062
-62.214999999999975,-0.15475177397115578,-0.15531591815654297
-59.58499999999998,-0.1536887602355393,-0.15533183537141115
-57.13499999999999,-0.15426454551581642,-0.15534775258627936
-54.714999999999975,-0.15476663551099404,-0.15542968474440638
-52.08499999999998,-0.15577097351557256,-0.15551161690253337
-49.40499999999997,-0.15512983886188605,-0.15564129520905295
-46.714999999999975,-0.15534775258627936,-0.15577097351557256
-44.07499999999999,-0.15611850765049676,-0.1559013576115392
-36.15499999999997,-0.15630515022601124,-0.15611850765049676
-28.58499999999998,-0.1559013576115392,-0.15630515022601124
-20.32499999999999,-0.1587851834966999,-0.1587851834966999
-17.88499999999999,-0.15922099221748817,-0.15922099221748817
-15.08499999999998,-0.15968523490753442,-0.15968523490753442
-12.654999999999973,-0.1597015395990696,-0.1597015395990696
-10.194999999999991,-0.17668271569677013,-0.17184112167863724
-7.5849999999999795,-0.20205969727470413,-0.17184112167863724
-5.024999999999977,-0.22934267112948428,-0.17184112167863724
-2.474999999999966,-0.25812471691976285,-0.17184112167863724
0.0,-0.2872388963860194,-0.17184112167863724
2.4750000000000227,-0.2905039086268267,-0.17184112167863724
33.22500000000002,-0.19050390862682676,-0.17184112167863724
36.004999999999995,-0.1914872816148543,-0.17184112167863724
38.61500000000001,-0.19589863753855702,-0.17184112167863724
46.67500000000001,-0.1967579146302657,-0.17184112167863724
54.47500000000002,-0.19764160078850465,-0.17184112167863724
62.67500000000001,-0.17814002282200145,-0.17184112167863724
65.13500000000005,-0.1792668857904156,-0.17184112167863724
67.91500000000002,-0.17705146264802243,-0.17184112167863724
70.34500000000003,-0.1814690359819831,-0.17184112167863724
72.80500000000006,-0.19028990145733352,-0.17184112167863724
75.41500000000008,-0.1948960942455236,-0.17184112167863724
77.97500000000002,-0.19818268771471034,-0.17184112167863724
80.61500000000001,-0.19925178432236784,-0.17184112167863724
85.67500000000007,-0.19974566061456184,-0.17184112167863724
88.41500000000008,-0.1997608351723843,-0.17184112167863724
90.84500000000004,-0.19780844674796386,-0.17184112167863724
95.97500000000002,-0.1939551314401705,-0.17184112167863724
98.70500000000004,-0.1929238653804894,-0.17184112167863724
101.28499999999995,-0.19242721512209743,-0.17184112167863724
103.985,-0.19223048681624363,-0.17184112167863724
106.55500000000006,-0.1921413875472735,-0.17184112167863724
109.385,-0.19191457228608658,-0.17184112167863724
111.84500000000004,-0.19126827358939572,-0.17184112167863724
114.67500000000008,-0.19081371998249633,-0.17184112167863724
117.28499999999995,-0.19040935435868,-0.17184112167863724
119.95500000000004,-0.18993057301391797,-0.17184112167863724
122.59500000000004,-0.1897537124754583,-0.17184112167863724
130.22500000000002,-0.18817580582183902,-0.17184112167863724
138.16500000000008,-0.18581929189336996,-0.17184112167863724
145.885,-0.1843600970679074,-0.17184112167863724
148.755,-0.17784052245147827,-0.17184112167863724
151.28499999999997,-0.17738809788069917,-0.17184112167863724
153.95500000000004,-0.17730645050819951,-0.17184112167863724
156.41500000000008,-0.17863916830788032,-0.17184112167863724
158.97500000000002,-0.1794543728734341,-0.17184112167863724
161.59500000000003,-0.18064885829228905,-0.17184112167863724
164.16500000000008,-0.18065558518954966,-0.17184112167863724
166.91500000000008,-0.17932776190231423,-0.17184112167863724
169.34500000000003,-0.1778324502975211,-0.17184112167863724
172.115,-0.17635516326790154,-0.17184112167863724
174.66500000000008,-0.17498546875070933,-0.17184112167863724
177.09500000000003,-0.1737589486799823,-0.17184112167863724
179.66500000000008,-0.17270134729236844,-0.17184112167863724
182.09500000000003,-0.1722516444941864,-0.17184112167863724
184.70500000000004,-0.17184112167863724,-0.17184112167863724
187.16500000000008,-0.17112416459593607,-0.17112416459593607
189.59500000000003,-0.17068914214449513,-0.17068914214449513
192.34500000000003,-0.16975412935272985,-0.16975412935272985
194.91500000000008,-0.1690545577037986,-0.1690545577037986
197.66500000000008,-0.1688297138618869,-0.16890121023973315
200.225,-0.16890121023973315,-0.1688297138618869
207.92500000000007,-0.1680309587831337,-0.1680309587831337
215.91500000000008,-0.16736369145908253,-0.16736369145908253
224.005,-0.16654519189092035,-0.16654519189092035
226.56500000000003,-0.16411193006355693,-0.1662331570010364
229.42500000000007,-0.16362913698157494,-0.16606109734244281
232.035,-0.16414364510382082,-0.16601877018347103
234.69500000000005,-0.16476945556399056,-0.16559141698167354
237.34500000000003,-0.16559141698167354,-0.16545069007691765
239.975,-0.16601877018347103,-0.16476945556399056
242.59500000000003,-0.1662331570010364,-0.1647408898010874
245.285,-0.16606109734244281,-0.16414364510382082
247.785,-0.16545069007691765,-0.16411193006355693
250.225,-0.1647408898010874,-0.16401235773869094
252.785,-0.16401235773869094,-0.16362913698157494
255.225,-0.16317197072839543,-0.16317197072839543
257.775,-0.16241349441079775,-0.16241349441079775
262.845,-0.16192461695445634,-0.16192461695445634
265.4150000000001,-0.16183323429111302,-0.16192461695445634
267.845,-0.1617118023566232,-0.16192461695445634
270.6650000000001,-0.1617960602640195,-0.16192461695445634
273.225,-0.16169212562556962,-0.16192461695445634
275.9150000000001,-0.1616362247792771,-0.16192461695445634
278.345,-0.16116316464523403,-0.16192461695445634
281.005,-0.1602184299331701,-0.16192461695445634
288.6650000000001,-0.1593792495944971,-0.16192461695445634
296.345,-0.15878147487856165,-0.16192461695445634
304.67500000000007,-0.1584380491177727,-0.16192461695445634
307.17500000000007,-0.15668879162208363,-0.16192461695445634
309.865,-0.15647888179928865,-0.16192461695445634
312.4150000000001,-0.1563230179336223,-0.16192461695445634
315.145,-0.15703512046777038,-0.16192461695445634
317.725,-0.1576343451791521,-0.16192461695445634
320.45500000000004,-0.15819129942775123,-0.16192461695445634
323.035,-0.158353995915221,-0.16192461695445634
325.725,-0.15827676573325078,-0.16192461695445634
328.1650000000001,-0.1578664410828124,-0.16192461695445634
330.595,-0.1571692659439482,-0.16192461695445634
333.345,-0.15637353982900284,-0.16192461695445634
335.845,-0.1557311530454421,-0.16192461695445634
338.45500000000004,-0.15520162935398782,-0.16192461695445634
341.035,-0.15478873229612922,-0.16192461695445634
343.475,-0.1547020692381307,-0.16192461695445634
346.095,-0.15422315024970393,-0.16192461695445634
348.6650000000001,-0.15410474342943783,-0.16192461695445634
351.4150000000001,-0.1541651470627813,-0.16192461695445634
353.975,-0.15426195620765656,-0.16192461695445634
356.645,-0.15416611653500334,-0.16192461695445634
359.235,-0.1537530508087034,-0.16192461695445634
367.205,-0.15386322706696187,-0.16192461695445634
374.975,-0.15416063582236647,-0.16192461695445634
383.385,-0.15460389570469768,-0.16192461695445634
385.865,-0.1537682071467313,-0.16192461695445634
388.67500000000007,-0.15412360155173527,-0.16192461695445634
391.225,-0.15465040845303674,-0.16192461695445634
393.975,-0.15626772840230252,-0.16192461695445634
396.535,-0.15737885563955553,-0.16192461695445634
399.205,-0.1588561258936602,-0.16192461695445634
401.785,-0.16021239208309554,-0.16192461695445634
404.475,-0.16063408564140558,-0.16192461695445634
406.92500000000007,-0.16069460831616839,-0.16192461695445634
409.4150000000001,-0.16064866255562998,-0.16192461695445634
412.1650000000001,-0.1606935973847873,-0.16192461695445634
414.67500000000007,-0.16075634962868765,-0.16192461695445634
417.42500000000007,-0.16091125623643776,-0.16192461695445634
419.975,-0.16131283819922487,-0.16192461695445634
422.67500000000007,-0.16176671070268037,-0.16192461695445634
425.1650000000001,-0.16191077421112487,-0.16192461695445634
428.025,-0.1622847602342741,-0.1622847602342741
430.475,-0.16258372513670366,-0.16258372513670366
433.205,-0.16287259660420558,-0.16287259660420558
435.67500000000007,-0.16316631158560263,-0.16316631158560263
438.285,-0.16321509603833861,-0.16321509603833861
445.9450000000001,-0.164922712934836,-0.164922712934836
453.845,-0.166393578400754,-0.166393578400754
461.735,-0.16855531460045187,-0.16763134421443335
464.365,-0.16763134421443335,-0.16833114792146722
466.865,-0.16833114792146722,-0.16855531460045187
469.505,-0.1694362177186499,-0.1694362177186499
471.985,-0.1710362589170265,-0.1710362589170265
474.755,-0.17317251161592528,-0.17317251161592528
479.735,-0.17727016527757947,-0.17727016527757947
482.4150000000001,-0.1789665061342062,-0.1789665061342062
485.035,-0.18031551088911862,-0.18031551088911862
487.6650000000001,-0.18110208460256333,-0.18110208460256333
490.095,-0.18146777422946375,-0.18146777422946375
492.955,-0.18178562876250037,-0.18178562876250037
495.4150000000001,-0.18200978220582165,-0.18200978220582165
498.205,-0.1826031671166383,-0.1826031671166383
500.785,-0.1832225741310435,-0.1832225741310435
503.225,-0.1840713107062888,-0.1840713107062888
505.6650000000001,-0.18504687086492366,-0.18504687086492366
508.225,-0.18658634723403544,-0.18658634723403544
510.9150000000001,-0.18821225738671438,-0.18821225738671438
513.475,-0.19001233095999592,-0.19001233095999592
516.205,-0.19174287986018362,-0.19174287986018362
518.895,-0.19320710924391474,-0.19320710924391474
525.705,-0.1969440580325856,-0.1969440580325856
