Time_Relative_s,Fit_Success,Direction,Run_Label,Target_der_m,Der_m_Bound_Half_Width,RMSE_Log,R2,At_Bounds,Bounds_Hit_Count,Sequential_Bounds,Sequential_Bounds_Hit_Count,Fixed_der_m,Accepted,height,alpha,alpha_beta,omega_p,der_A,der_m,beta,de,tau_hn
-342.255,True,backward,pilot_free_der_m,,,0.017316832466855718,0.9994376389690957,True,1,True,1,,True,0.8077702250343701,0.6552372075297048,0.9999999999999999,250606.4523897559,0.04093517465922788,0.10209426056021448,1.5261648583267693,2.0043105197479725,2.216347154314637e-06
-333.985,True,backward,pilot_free_der_m,,,0.017242401521594217,0.9994419833938728,True,1,True,1,,True,0.8076154352742921,0.6554127226364923,0.9999999999999999,250518.6594744539,0.04105351464502051,0.10198170363379065,1.5257561616707034,2.0032076219446617,2.218370424333153e-06
-331.555,True,backward,pilot_free_der_m,,,0.017238773748051193,0.9994421190437921,True,1,True,1,,True,0.8075773063521325,0.6554481838670605,0.9999999999999999,250487.45314893694,0.04107224175208363,0.10197532665297003,1.5256736148083099,2.0029678636923736,2.2188986509277522e-06
-328.765,True,backward,pilot_free_der_m,,,0.017350260741491534,0.9994350595686814,True,1,True,1,,True,0.8075327663591295,0.6552670621876493,0.9999999999999999,250421.49864857903,0.040956623202553825,0.10216560034887984,1.5260953246473865,2.003599035850346,2.218196218877101e-06
-326.315,True,backward,pilot_free_der_m,,,0.01745763302166201,0.9994282474748243,True,1,True,1,,True,0.8075012256698901,0.6551074248607446,0.9999999999999999,250355.20799945286,0.04084428140120602,0.10235438605294928,1.5264672053023498,2.0041747190494688,2.217648848136017e-06
-323.805,True,backward,pilot_free_der_m,,,0.017538478285963614,0.9994231270535572,True,1,True,1,,True,0.8074754136632883,0.6549586587750263,0.9999999999999806,250305.2216774586,0.040742924234536494,0.1025217103115152,1.526813924210556,2.0047202928326815,2.2170338673911986e-06
-321.195,True,backward,pilot_free_der_m,,,0.01761191691934068,0.9994184666122345,True,1,True,1,,True,0.8074332205026408,0.6548204301779644,0.9999999999999999,250237.12638795256,0.04064114883348859,0.10270049600166405,1.5271362253132876,2.005182182411897,2.2166538214138272e-06
-318.755,True,backward,pilot_free_der_m,,,0.017686049183186805,0.999413728853201,True,1,True,1,,True,0.8073984638048538,0.6546852914000886,0.9999999999999855,250185.77207031022,0.04054826952417152,0.10285816410152217,1.5274514536005812,2.0056500219567357,2.216147099170257e-06
-316.065,True,backward,pilot_free_der_m,,,0.017771970623412764,0.9994081887558537,True,1,True,1,,True,0.807353847363276,0.6545459438352834,0.9999999999999827,250118.45645380998,0.04044823343188442,0.10303487103448374,1.5277766357247993,2.0061107813764223,2.215751439731817e-06
-313.505,True,backward,pilot_free_der_m,,,0.017869284756858488,0.9994018446497511,True,1,True,1,,True,0.8073029704462005,0.6544004696867012,0.9999999999999901,250065.43152921242,0.040354362974707646,0.1031951714371448,1.5281162626285203,2.0065812728768035,2.2151851631849967e-06
-311.065,True,backward,pilot_free_der_m,,,0.017968731520602563,0.9993953156481168,True,1,True,1,,True,0.8072688328240317,0.6542812525320447,0.999999999999983,250011.5200519269,0.04026887917994094,0.10334682394852994,1.5283947020184656,2.006985747050536,2.2148134189206657e-06
-308.585,True,backward,pilot_free_der_m,,,0.01807481898921469,0.9993883039036703,True,1,True,1,,True,0.8072262141472191,0.654127772767758,0.9999999999999999,249967.34727413915,0.04017698532126981,0.10349744257522052,1.5287533133913283,2.0075099415475166,2.214110902321398e-06
-306.005,True,backward,pilot_free_der_m,,,0.01818821485040312,0.9993807592420543,True,1,True,1,,True,0.8071647974356506,0.6539561448325126,0.9999999999858884,249915.72397717397,0.040074845712542655,0.1036680754954922,1.5291545280027952,2.008062117551585,2.213344516000314e-06
-303.285,True,backward,pilot_free_der_m,,,0.01830938071157146,0.9993726459495929,True,1,True,1,,True,0.8071124490094056,0.6537977711383027,0.9999999999856157,249845.70868255274,0.039971367578569915,0.10384890570981833,1.5295249450675754,2.008582606111854,2.2128350024584264e-06
